nodes_ratio,f1,precision,recall
0.0029342723004694834,0.3701,0.4541832669322709,0.31232876712328766
0.005868544600938967,0.4417,0.5094170403587444,0.38984214138641043
0.008802816901408451,0.5288,0.5659340659340659,0.49621472814865797
0.011737089201877934,0.5677,0.5741525423728814,0.56146408839779
0.014671361502347418,0.5856,0.5651612903225807,0.6074895977808599
0.017605633802816902,0.6464,0.554228855721393,0.7752261656228253
0.020539906103286387,0.6522,0.5409383624655014,0.8212290502793296
0.023474178403755867,0.6524,0.5404040404040404,0.823076923076923
0.02640845070422535,0.6524,0.5028506271379704,0.9284210526315789
0.029342723004694836,0.6713,0.5450963222416813,0.8736842105263158
0.03227699530516432,0.6806,0.5678722404884923,0.8490168539325843
0.035211267605633804,0.6924,0.6014530358069539,0.8156228008444757
0.03814553990610329,0.6636,0.5824468085106383,0.7711267605633803
0.04107981220657277,0.6879,0.6114160263446762,0.7861679604798871
0.04401408450704225,0.6707,0.5471613768439875,0.8662420382165605
0.046948356807511735,0.6948,0.621152770005596,0.7883522727272727
0.04988262910798122,0.6961,0.6268571428571429,0.782453637660485
0.0528169014084507,0.7075,0.5986124876114965,0.8647100930565498
0.05575117370892019,0.7074,0.6114016736401674,0.8391959798994975
0.05868544600938967,0.7047,0.5915974596971177,0.8712230215827338
0.061619718309859156,0.7164,0.6249328318108544,0.8391053391053391
0.06455399061032864,0.718,0.6562874251497006,0.7924801156905278
0.06748826291079812,0.7158,0.6248648648648648,0.8376811594202899
0.07042253521126761,0.7227,0.6381322957198443,0.8330914368650217
0.0733568075117371,0.7152,0.6068895643363729,0.8706395348837209
0.07629107981220658,0.7198,0.6055638350720318,0.8871906841339156
0.07922535211267606,0.7278,0.6283748014822658,0.864530225782957
0.08215962441314555,0.7174,0.6148225469728601,0.8611111111111112
0.08509389671361503,0.724,0.6172520661157025,0.8754578754578755
0.0880281690140845,0.7288,0.6368623148656062,0.8517975055025678
0.09096244131455399,0.7255,0.6334617501375894,0.8488200589970502
0.09389671361502347,0.7254,0.6198217094913476,0.8742603550295858
0.09683098591549295,0.7157,0.5914811229428848,0.9058561897702001
0.09976525821596244,0.7323,0.6390270867882808,0.857566765578635
0.10269953051643192,0.7345,0.634054054054054,0.8727678571428571
0.1056338028169014,0.7339,0.6252620545073375,0.8883097542814594
0.10856807511737089,0.7335,0.6332067281606077,0.871545929798357
0.11150234741784038,0.7346,0.6327193932827736,0.8755622188905547
0.11443661971830986,0.7387,0.6374045801526718,0.8782870022539444
0.11737089201877934,0.7443,0.653038046564452,0.8653122648607976
0.12030516431924883,0.7453,0.6639199529134785,0.8493975903614458
