nodes_ratio,f1,precision,recall
0.0010611205432937182,0.0,0.0,0.0
0.0021222410865874364,0.0,0.0,0.0
0.0031833616298811546,0.3201,0.7644628099173554,0.2024070021881838
0.004244482173174873,0.4373,0.7263427109974424,0.31277533039647576
0.005305602716468591,0.5194,0.7963386727688787,0.3853820598006645
0.006366723259762309,0.7201,0.8627145085803433,0.617877094972067
0.007427843803056027,0.7287,0.851963746223565,0.636568848758465
0.008488964346349746,0.7329,0.864406779661017,0.6360544217687075
0.009550084889643463,0.7516,0.8600883652430045,0.6674285714285715
0.010611205432937181,0.7547,0.8675595238095238,0.6678121420389461
0.0116723259762309,0.7567,0.8748114630467572,0.6666666666666666
0.012733446519524618,0.7577,0.882262996941896,0.663981588032221
0.013794567062818336,0.7598,0.8935837245696401,0.6608796296296297
0.014855687606112054,0.7623,0.8921875,0.6655011655011654
0.015916808149405774,0.7639,0.890795631825273,0.6686182669789227
0.01697792869269949,0.7718,0.8783783783783784,0.6882352941176471
0.01803904923599321,0.7792,0.8759231905465288,0.7017751479289941
0.019100169779286927,0.7795,0.8840361445783133,0.6971496437054632
0.020161290322580645,0.7819,0.886535552193646,0.6992840095465394
0.021222410865874362,0.7841,0.8887195121951219,0.7015643802647413
0.02228353140916808,0.7845,0.8904320987654321,0.701093560145808
0.0233446519524618,0.7883,0.8894009216589862,0.7078239608801956
0.02440577249575552,0.797,0.892802450229709,0.7197530864197531
0.025466893039049237,0.8235,0.8932748538011696,0.76375
0.026528013582342955,0.8316,0.8951965065502183,0.7765151515151515
0.027589134125636672,0.8367,0.8933717579250721,0.7868020304568528
0.02865025466893039,0.8617,0.8962655601659751,0.8297055057618438
0.029711375212224108,0.8683,0.9094766619519095,0.8307493540051679
0.030772495755517826,0.8742,0.9137199434229137,0.8378728923476005
0.03183361629881155,0.8741,0.9167862266857962,0.8352941176470589
0.03289473684210526,0.8716,0.90625,0.8394736842105263
0.03395585738539898,0.878,0.9191919191919192,0.8403693931398417
0.0350169779286927,0.8789,0.9202898550724637,0.8410596026490066
0.03607809847198642,0.8785,0.9182481751824818,0.8420348058902276
0.03713921901528013,0.8803,0.9195906432748538,0.8442953020134228
0.038200339558573854,0.8789,0.9162995594713657,0.8443843031123139
0.039261460101867575,0.8818,0.9188790560471977,0.8476190476190476
0.04032258064516129,0.8808,0.9195230998509687,0.8452054794520548
0.04138370118845501,0.8799,0.918429003021148,0.8444444444444444
0.042444821731748725,0.8789,0.9187116564417178,0.8424753867791842
0.043505942275042446,0.8773,0.9175738724727839,0.8404558404558404
0.04456706281833616,0.876,0.9166666666666666,0.8388489208633093
0.04562818336162988,0.875,0.9169329073482428,0.8367346938775511
0.0466893039049236,0.875,0.9174757281553398,0.8362831858407079
0.04775042444821732,0.8738,0.9166666666666666,0.8348214285714286
0.04881154499151104,0.8729,0.9155629139072847,0.8340874811463047
0.04987266553480475,0.8713,0.9144295302013423,0.8320610687022901
