nodes_ratio,f1,precision,recall
0.0010611205432937182,0.0,0.0,0.0
0.0021222410865874364,0.0,0.0,0.0
0.0031833616298811546,0.3249,0.7751937984496124,0.20554984583761562
0.004244482173174873,0.4364,0.7334963325183375,0.3105590062111801
0.005305602716468591,0.5263,0.8064516129032258,0.390625
0.006366723259762309,0.7266,0.8696925329428989,0.6239495798319328
0.007427843803056027,0.7342,0.8581560283687943,0.6415694591728526
0.008488964346349746,0.7387,0.8712011577424024,0.6411075612353567
0.009550084889643463,0.757,0.8670360110803325,0.6716738197424893
0.010611205432937181,0.7599,0.8741258741258742,0.6720430107526881
0.0116723259762309,0.7618,0.8810198300283286,0.6709816612729234
0.012733446519524618,0.762,0.8879310344827587,0.6673866090712743
0.013794567062818336,0.7638,0.8985294117647059,0.6641304347826087
0.014855687606112054,0.7666,0.8972099853157122,0.6692223439211391
0.015916808149405774,0.7681,0.8958944281524927,0.6721672167216721
0.01697792869269949,0.7757,0.8829337094499294,0.6917127071823205
0.01803904923599321,0.7827,0.8793342579750347,0.7052280311457174
0.019100169779286927,0.784,0.8895184135977338,0.7008928571428571
0.020161290322580645,0.7862,0.8918918918918919,0.702914798206278
0.021222410865874362,0.7884,0.8939828080229226,0.7050847457627119
0.02228353140916808,0.7888,0.8956521739130435,0.7046750285062714
0.0233446519524618,0.7928,0.8946608946608947,0.711825487944891
0.02440577249575552,0.801,0.897841726618705,0.7230590961761297
0.025466893039049237,0.8258,0.8980716253443526,0.7643610785463072
0.026528013582342955,0.8335,0.8998628257887518,0.7763313609467456
0.027589134125636672,0.8378,0.8968792401628223,0.7859690844233056
0.02865025466893039,0.862,0.8996088657105606,0.8273381294964028
0.029711375212224108,0.8695,0.9134487350199734,0.8295042321644498
0.030772495755517826,0.8756,0.9175531914893617,0.837378640776699
0.03183361629881155,0.8744,0.9191374663072777,0.8337408312958435
0.03289473684210526,0.872,0.908,0.8386699507389163
0.03395585738539898,0.8786,0.9214092140921409,0.8395061728395061
0.0350169779286927,0.8799,0.9237057220708447,0.8401486988847584
0.03607809847198642,0.8794,0.9217032967032966,0.8408521303258145
0.03713921901528013,0.8812,0.922971114167813,0.842964824120603
0.038200339558573854,0.8796,0.9197786998616874,0.8428390367553865
0.039261460101867575,0.8824,0.9222222222222223,0.845859872611465
0.04032258064516129,0.8814,0.9228611500701263,0.8435897435897436
0.04138370118845501,0.8806,0.921875,0.8428571428571429
0.042444821731748725,0.8797,0.9221902017291066,0.8409986859395532
0.043505942275042446,0.8782,0.9211678832116789,0.839095744680851
0.04456706281833616,0.877,0.9203539823008849,0.8375838926174497
0.04562818336162988,0.8761,0.9206586826347305,0.8355978260869565
0.0466893039049236,0.8761,0.9212121212121213,0.8351648351648352
0.04775042444821732,0.875,0.9204892966360856,0.8337950138504155
0.04881154499151104,0.874,0.9193798449612403,0.8328651685393258
0.04987266553480475,0.8725,0.9183673469387755,0.8309659090909091
0.050933786078098474,0.8716,0.9173290937996821,0.8302158273381295
