nodes_ratio,f1,precision,recall
0.0010611205432937182,0.5641,0.40059982862039417,0.9531090723751274
0.0021222410865874364,0.4318,0.5097222222222222,0.37448979591836734
0.0031833616298811546,0.3435,0.5310492505353319,0.2538382804503582
0.004244482173174873,0.3176,0.6507936507936508,0.21004098360655737
0.005305602716468591,0.3058,0.7450199203187251,0.19238683127572018
0.006366723259762309,0.2919,0.9086021505376344,0.17386831275720166
0.007427843803056027,0.2877,0.835820895522388,0.1737331954498449
0.008488964346349746,0.4381,0.8498498498498499,0.29509906152241916
0.009550084889643463,0.4081,0.8846153846153846,0.26519916142557654
0.010611205432937181,0.5521,0.9016786570743405,0.3978835978835979
0.0116723259762309,0.5666,0.8456659619450317,0.42598509052183176
0.012733446519524618,0.7589,0.8794326241134752,0.667384284176534
0.013794567062818336,0.7978,0.886968085106383,0.725
0.014855687606112054,0.8339,0.8897149938042132,0.7846994535519126
0.015916808149405774,0.8535,0.8870392390011891,0.8224917309812569
0.01697792869269949,0.8392,0.8463276836158192,0.8322222222222222
0.01803904923599321,0.8713,0.8874709976798144,0.8557046979865772
0.019100169779286927,0.8756,0.8897911832946636,0.8617977528089887
0.020161290322580645,0.8718,0.8668903803131991,0.8766968325791855
0.021222410865874362,0.8816,0.891860465116279,0.8715909090909091
0.02228353140916808,0.8837,0.8935672514619883,0.8741418764302059
0.0233446519524618,0.8832,0.892018779342723,0.8745684695051784
0.02440577249575552,0.8856,0.8977407847800237,0.8738425925925926
0.025466893039049237,0.879,0.8873072360616845,0.8707799767171129
0.026528013582342955,0.8907,0.8938679245283019,0.8875878220140515
0.027589134125636672,0.889,0.8822843822843823,0.8958579881656805
0.02865025466893039,0.8935,0.8903301886792453,0.8966745843230404
0.029711375212224108,0.8939,0.8875739644970414,0.9003601440576231
0.030772495755517826,0.8942,0.8883610451306413,0.9001203369434416
0.03183361629881155,0.8958,0.8883610451306413,0.9033816425120773
0.03289473684210526,0.8972,0.8934131736526946,0.9009661835748792
