nodes_ratio,f1,precision,recall
0.0010611205432937182,0.5615,0.39810212381382737,0.9524324324324325
0.0021222410865874364,0.432,0.5103244837758112,0.37445887445887444
0.0031833616298811546,0.3497,0.5358744394618834,0.25950054288816504
0.004244482173174873,0.3224,0.652317880794702,0.2141304347826087
0.005305602716468591,0.3114,0.75,0.1965065502183406
0.006366723259762309,0.2977,0.9106145251396648,0.1779475982532751
0.007427843803056027,0.2942,0.8316326530612245,0.1787280701754386
0.008488964346349746,0.4419,0.8490566037735849,0.29867256637168144
0.009550084889643463,0.4194,0.8853046594982079,0.27474972191323693
0.010611205432937181,0.5514,0.8984771573604061,0.39775280898876403
0.0116723259762309,0.5646,0.8411633109619687,0.4248587570621469
0.012733446519524618,0.7567,0.8766917293233083,0.6655251141552512
0.013794567062818336,0.7929,0.8826025459688827,0.7197231833910035
0.014855687606112054,0.8306,0.885676741130092,0.7819025522041764
0.015916808149405774,0.8507,0.8828715365239295,0.8208430913348946
0.01697792869269949,0.8352,0.841726618705036,0.8288075560802833
0.01803904923599321,0.8687,0.8842364532019704,0.8537455410225921
0.019100169779286927,0.8726,0.8865598027127004,0.8590203106332138
0.020161290322580645,0.8691,0.8634204275534442,0.8748495788206979
0.021222410865874362,0.8784,0.8876543209876543,0.8694074969770254
0.02228353140916808,0.8807,0.8894409937888199,0.8721071863580999
0.0233446519524618,0.8801,0.8877805486284289,0.8725490196078431
0.02440577249575552,0.8833,0.8939393939393939,0.872996300863132
0.025466893039049237,0.8757,0.8828715365239295,0.8686493184634448
0.026528013582342955,0.8875,0.8897243107769424,0.885286783042394
0.027589134125636672,0.8857,0.8774752475247525,0.8940731399747793
0.02865025466893039,0.8904,0.8859649122807017,0.8949367088607595
0.029711375212224108,0.891,0.8831658291457286,0.8989769820971867
0.030772495755517826,0.8913,0.8839848675914249,0.8987179487179487
0.03183361629881155,0.893,0.8839848675914249,0.9021879021879022
0.03289473684210526,0.8951,0.8894536213468869,0.9009009009009009
0.03395585738539898,0.895,0.8870558375634517,0.9031007751937985
0.0350169779286927,0.8968,0.8904639175257731,0.9032679738562092
0.03607809847198642,0.9,0.9023746701846965,0.8976377952755905
0.03713921901528013,0.904,0.9070385126162018,0.9010554089709762
0.038200339558573854,0.9047,0.9077540106951871,0.9017264276228419
0.039261460101867575,0.9051,0.9087248322147651,0.9014647137150466
0.04032258064516129,0.9079,0.907258064516129,0.9084791386271871
0.04138370118845501,0.9093,0.9105691056910569,0.9081081081081082
0.042444821731748725,0.9112,0.9149519890260631,0.9074829931972789
0.043505942275042446,0.9101,0.9138888888888889,0.90633608815427
0.04456706281833616,0.91,0.9131652661064426,0.9068150208623088
0.04562818336162988,0.9138,0.9144460028050491,0.9131652661064426
0.0466893039049236,0.9143,0.9143258426966292,0.9143258426966292
0.04775042444821732,0.9249,0.9084699453551912,0.9419263456090652
0.04881154499151104,0.9271,0.9117241379310345,0.9429386590584878
0.04987266553480475,0.9276,0.9132867132867133,0.9422799422799423
0.050933786078098474,0.9289,0.9145658263305322,0.9436416184971098
0.05199490662139219,0.9315,0.9215406562054208,0.9416909620991254
0.05305602716468591,0.9346,0.9265129682997119,0.9428152492668622
0.054117147707979624,0.9385,0.9330422125181951,0.9440353460972017
0.055178268251273345,0.9408,0.9380530973451328,0.9436201780415431
0.056239388794567066,0.9463,0.9491017964071856,0.9434523809523809
0.05730050933786078,0.9502,0.9574468085106383,0.9431137724550899
0.0583616298811545,0.9535,0.9645608628659477,0.9427710843373494
0.059422750424448216,0.9537,0.965625,0.9420731707317073
0.06048387096774194,0.9533,0.9652996845425867,0.9415384615384615
0.06154499151103565,0.9528,0.9649122807017544,0.9409020217729394
0.06260611205432937,0.9532,0.9662379421221865,0.9405320813771518
0.0636672325976231,0.9534,0.967373572593801,0.9397781299524565
0.06472835314091681,0.9528,0.966996699669967,0.9391025641025641
0.06578947368421052,0.9522,0.9665551839464883,0.9383116883116883
0.06685059422750425,0.9515,0.966044142614601,0.9373970345963756
0.06791171477079797,0.9517,0.9672977624784854,0.9366666666666666
0.06897283531409168,0.9536,0.9719789842381786,0.9359190556492412
0.0700339558573854,0.9555,0.9768270944741533,0.9351535836177475
0.07109507640067912,0.9558,0.9782608695652174,0.9342560553633218
0.07215619694397284,0.9559,0.9797047970479705,0.9332161687170475
0.07321731748726655,0.9561,0.9812382739212008,0.9322638146167558
0.07427843803056026,0.9554,0.9809160305343512,0.9311594202898551
0.07533955857385399,0.9548,0.9806576402321083,0.9302752293577982
0.07640067911714771,0.9543,0.9804305283757339,0.9294990723562152
0.07746179966044142,0.9579,0.9803921568627451,0.9363295880149812
0.07852292020373515,0.9595,0.9803149606299213,0.939622641509434
0.07958404074702886,0.9605,0.9803149606299213,0.941398865784499
0.08064516129032258,0.962,0.9820717131474104,0.9426386233269598
0.08170628183361629,0.9625,0.9838383838383838,0.941972920696325
0.08276740237691002,0.9619,0.9836065573770492,0.9411764705882353
0.08382852292020374,0.9611,0.9832635983263598,0.94
0.08488964346349745,0.9606,0.9830148619957537,0.9391480730223124
0.08595076400679118,0.9601,0.9827956989247312,0.9383983572895277
0.08701188455008489,0.961,0.9848812095032398,0.9382716049382716
0.0880730050933786,0.9614,0.986784140969163,0.9372384937238494
0.08913412563667232,0.9609,0.9866071428571429,0.9364406779661016
0.09019524617996605,0.9612,0.9885844748858448,0.9352051835853131
0.09125636672325976,0.9603,0.9883177570093458,0.9337748344370861
0.09231748726655348,0.9594,0.9880668257756563,0.9324324324324325
0.0933786078098472,0.9586,0.9878048780487805,0.9310344827586207
0.09443972835314092,0.9578,0.9875621890547264,0.9297423887587822
0.09550084889643463,0.9582,0.9898477157360406,0.9285714285714286
0.09656196943972835,0.9588,0.9896907216494846,0.9297820823244553
0.09762308998302208,0.9588,0.9896907216494846,0.9297820823244553
0.09868421052631579,0.9582,0.9895287958115183,0.9287469287469288
0.0997453310696095,0.9572,0.9892761394101877,0.9271356783919598
0.10080645161290322,0.9576,0.989041095890411,0.9280205655526992
0.10186757215619695,0.9585,0.988950276243094,0.9298701298701298
0.10292869269949066,0.9624,0.988950276243094,0.93717277486911
0.10398981324278438,0.9649,0.9916666666666667,0.9394736842105263
0.1050509337860781,0.9688,0.9944289693593314,0.9444444444444444
0.10611205432937182,0.9679,0.994269340974212,0.9429347826086957
0.10717317487266553,0.967,0.9941002949852508,0.9413407821229051
0.10823429541595925,0.9662,0.9939577039274925,0.94
0.10929541595925298,0.9685,0.9969135802469136,0.9416909620991254
0.11035653650254669,0.968,0.9968652037617555,0.9408284023668639
0.1114176570458404,0.9671,0.9967741935483871,0.939209726443769
0.11247877758913413,0.9668,0.996742671009772,0.9386503067484663
0.11353989813242785,0.9659,0.9966442953020134,0.9369085173501577
0.11460101867572156,0.9653,0.9965870307167235,0.9358974358974359
0.11566213921901528,0.9649,0.996551724137931,0.9352750809061489
0.116723259762309,0.9637,0.9964285714285714,0.9331103678929766
0.11778438030560272,0.9626,0.996309963099631,0.9310344827586207
0.11884550084889643,0.9615,0.9961977186311787,0.9290780141843972
0.11990662139219015,0.9605,0.99609375,0.9272727272727272
0.12096774193548387,0.9597,0.9960159362549801,0.9259259259259259
0.12202886247877759,0.9583,0.9958677685950413,0.9233716475095786
0.1230899830220713,0.9602,0.9958677685950413,0.926923076923077
0.12415110356536503,0.9602,0.9958677685950413,0.926923076923077
0.12521222410865873,0.9588,0.9957264957264957,0.9246031746031746
0.12627334465195247,0.958,0.9956331877729258,0.9230769230769231
0.1273344651952462,0.9576,0.9955947136563876,0.9224489795918367
0.1283955857385399,0.9563,0.9954545454545455,0.9201680672268907
0.12945670628183362,0.9554,0.9953488372093023,0.9184549356223176
0.13051782682512733,0.9548,0.9952830188679245,0.9173913043478261
0.13157894736842105,0.9531,0.9950980392156863,0.9144144144144144
0.13264006791171476,0.9531,0.9950980392156863,0.9144144144144144
0.1337011884550085,0.9517,0.9949494949494949,0.9120370370370371
0.13476230899830222,0.9492,0.9946808510638298,0.9077669902912622
0.13582342954159593,0.9465,0.9943820224719101,0.9030612244897959
0.13688455008488964,0.9435,0.9940476190476191,0.8978494623655914
0.13794567062818336,0.9415,0.9938271604938271,0.8944444444444445
0.13900679117147707,0.939,0.9935483870967742,0.8901734104046243
0.1400679117147708,0.9393,1.0,0.8855421686746988
0.14112903225806453,0.9352,1.0,0.8782051282051282
0.14219015280135824,0.9304,1.0,0.8698630136986302
0.14325127334465196,0.9255,1.0,0.8613138686131386
0.14431239388794567,0.9191,1.0,0.8503937007874016
0.1453735144312394,0.9124,1.0,0.8389830508474576
0.1464346349745331,0.9036,1.0,0.8240740740740741
0.14749575551782682,0.8927,1.0,0.8061224489795918
0.14855687606112053,0.882,1.0,0.7888888888888889
0.14961799660441427,0.8774,1.0,0.7816091954022989
0.15067911714770799,0.8652,1.0,0.7625
0.1517402376910017,0.8455,1.0,0.7323943661971831
0.15280135823429541,0.819,1.0,0.6935483870967742
0.15386247877758913,0.7816,1.0,0.6415094339622641
0.15492359932088284,0.7532,1.0,0.6041666666666666
0.15598471986417656,0.75,1.0,0.6
0.1570458404074703,0.75,1.0,0.6
0.15810696095076401,0.6786,1.0,0.5135135135135135
0.15916808149405773,0.6087,1.0,0.4375
0.16022920203735144,0.5909,1.0,0.41935483870967744
0.16129032258064516,0.5,1.0,0.3333333333333333
0.16235144312393887,0.1818,1.0,0.1
0.16341256366723259,0.0,0.0,0.0
0.16447368421052633,0.0,0.0,0.0
0.16553480475382004,0.0,0.0,0.0
0.16659592529711376,0.0,0.0,0.0
0.16765704584040747,0.0,0.0,0.0
0.16871816638370118,0.0,0.0,0.0
0.1697792869269949,0.0,0.0,0.0
0.1708404074702886,0.0,0.0,0.0
0.17190152801358236,0.0,0.0,0.0
0.17296264855687607,0.0,0.0,0.0
0.17402376910016978,0.0,0.0,0.0
0.1750848896434635,0.0,0.0,0.0
0.1761460101867572,0.0,0.0,0.0
0.17720713073005093,0.0,0.0,0.0
0.17826825127334464,0.0,0.0,0.0
0.17932937181663838,0.0,0.0,0.0
0.1803904923599321,0.0,0.0,0.0
0.1814516129032258,0.0,0.0,0.0
0.18251273344651953,0.0,0.0,0.0
0.18357385398981324,0.0,0.0,0.0
0.18463497453310695,0.0,0.0,0.0
0.18569609507640067,0.0,0.0,0.0
0.1867572156196944,0.0,0.0,0.0
0.18781833616298813,0.0,0.0,0.0
0.18887945670628184,0.0,0.0,0.0
0.18994057724957555,0.0,0.0,0.0
0.19100169779286927,0.0,0.0,0.0
0.19206281833616298,0.0,0.0,0.0
0.1931239388794567,0.0,0.0,0.0
0.1941850594227504,0.0,0.0,0.0
0.19524617996604415,0.0,0.0,0.0
0.19630730050933787,0.0,0.0,0.0
0.19736842105263158,0.0,0.0,0.0
0.1984295415959253,0.0,0.0,0.0
0.199490662139219,0.0,0.0,0.0
0.20055178268251272,0.0,0.0,0.0
0.20161290322580644,0.0,0.0,0.0
0.20267402376910018,0.0,0.0,0.0
0.2037351443123939,0.0,0.0,0.0
0.2047962648556876,0.0,0.0,0.0
0.20585738539898132,0.0,0.0,0.0
0.20691850594227504,0.0,0.0,0.0
0.20797962648556875,0.0,0.0,0.0
0.20904074702886247,0.0,0.0,0.0
0.2101018675721562,0.0,0.0,0.0
0.21116298811544992,0.0,0.0,0.0
